voxel_hash,anchor_i,anchor_j,anchor_k,x,y,z,p2v_x,p2v_y,p2v_z,sigma
982828226670999681,-5,-6,6,-1.2996895802994906,-1.5416744295783922,2.0953900629645683,0.0014834957595603162,0.002350850276350016,-0.04706975361347059,0.0061699997981459545
982828226670999681,-5,-6,6,-1.40721683732564,-1.7126569973225532,2.058719871782054,-0.0017744430163930177,0.00040145266049907357,-0.01792738489270437,0.0037855735888418303
982828226670999681,-5,-6,6,-1.3490761776262152,-1.6388144890620284,1.9657669672992852,0.007295314599205061,-0.005053468162909812,0.0788214040559736,0.005862226344513042
3513959249469715332,-4,-6,6,-1.1837216588768598,-1.662061068533353,1.9532044064685758,-0.001778426619506914,-0.0011591042685843316,0.08230347064554977,0.00680742233394304
781555433026856478,-5,-7,6,-1.363930709135279,-1.8197203526975754,1.9649364410847694,6.001360281239301e-05,-0.0007357841749510299,0.08891226779428076,0.006193182749716903
2308216658180845620,-1,-8,6,-0.27566870888559486,-2.251933282789508,1.9136809168388789,0.0013965973290021739,0.0033064906775894685,0.09618810645313429,0.004755179753077729
2308216658180845620,-1,-8,6,-0.2376517094974976,-2.20525196767521,1.9333442032892179,0.003124417382767934,-8.43727722225865e-07,0.07600645432592004,0.004695277155036252
2308216658180845620,-1,-8,6,-0.1004786158978174,-2.348677333244748,2.0380834409423514,-5.5117630517355064e-05,-0.0009074053962640709,-0.021707041408934855,0.00388142662472481
2308216658180845620,-1,-8,6,-0.001240896717476726,-2.2855365676445363,2.0362630141610456,-0.0003682947255566404,-0.0020801043341168433,-0.027957188090369046,0.004033741103969243
11624312666122233477,0,-8,6,0.026719486617877063,-2.2612107027934663,2.032793236787364,-0.0006549992515991887,-0.0013428204277011987,-0.026142993240339567,0.003657733408455435
9516819473740312108,-2,-8,6,-0.3923781916706287,-2.320492314449624,2.076363846109969,-0.0006831973967213009,-0.004338635202642766,-0.05971660110837691,0.00497721371958229
9516819473740312108,-2,-8,6,-0.5354644434966638,-2.2852007911245216,1.9174925758239814,0.005888150209711071,0.0026212421536825677,0.11111541655436774,0.005956888664098296
9516819473740312108,-2,-8,6,-0.4360643401792675,-2.282549371890711,1.966755442784767,0.0023778937852083144,-5.0268988529995064e-05,0.05020760809281876,0.004928754333443471
9516819473740312108,-2,-8,6,-0.5245647433373372,-2.200649241933792,2.0262214933879283,-7.254851482460424e-05,-0.0002266500355366559,-0.0055857739097005905,0.005652624063604747
9516819473740312108,-2,-8,6,-0.4663706268645779,-2.329975975333141,1.9724676825879952,0.001383548534918986,-0.0005278193018049062,0.04756659662356338,0.005328207353639614
982828226670999681,-5,-6,6,-1.2149731281758969,-1.7807707498495315,2.01169206913028,0.0011433983794088716,0.0021721548231645655,0.024053202733491853,0.005969577246070604
14542011485515905829,-4,-7,6,-0.925333886518128,-1.937291907432454,1.8210036435503925,0.009362615892673136,0.009634310373149917,0.203822329074243,0.0031931151566197183
14542011485515905829,-4,-7,6,-0.941772850598544,-2.0578572052938005,1.9847054387746503,0.0015187929091975481,0.002834183096912243,0.04681459922654481,0.005177398635952742
14167501526726584984,-3,-7,6,-0.8895909229136787,-2.055873175233909,2.010356822164315,0.0012140388198243937,0.0011955245604650681,0.01801649594546719,0.005193511878989355
3513959249469715332,-4,-6,6,-1.0432559599526698,-1.6886371510699025,1.9740864650963812,0.0027506684864930793,-0.008397683699899154,0.05669346101047963,0.0021814830797407467
3513959249469715332,-4,-6,6,-0.9774575671520328,-1.6869115761058373,1.9894778396513857,0.0005791305944509932,-0.0040766929572719724,0.04445173611592459,0.004837151813149396
3513959249469715332,-4,-6,6,-0.9768256047785409,-1.685376827117036,1.9489652807609856,0.00036337862970388455,-0.013174119170609932,0.0868197177759594,0.0041620083373719195
11624312666122233477,0,-8,6,0.09692518030249013,-2.2800181276110183,2.0824480726869985,-0.0015550212536617567,-0.0056884999585387975,-0.07140512789200111,0.001424193647036231
11624312666122233477,0,-8,6,0.12287096629359644,-2.360980408842742,1.9362806195374358,0.005533171135700955,-0.0012764174327205963,0.0764688073909317,0.0017448859306366065
11624312666122233477,0,-8,6,0.03514598153919013,-2.1834357116237433,1.979356834961829,0.001305572810090171,-0.00034776292576597467,0.02595472276125389,0.0028158108291225356
11624312666122233477,0,-8,6,0.1723663624711638,-2.294957553557307,2.036593729811548,-7.061073971501127e-05,-0.001615023324861599,-0.028811650807767614,0.0018286196770275175
14167501526726584984,-3,-7,6,-0.6624875862639908,-1.953391775806897,2.0274044251697405,-0.00027587546314354047,-3.734903757984527e-05,-0.0033521284558760116,0.003250532111065798
14167501526726584984,-3,-7,6,-0.7740913450615172,-1.822095146087498,2.014128807427147,-0.00015010824215072404,-0.0005394959613493395,0.008088888616265222,0.003332774427753502
1270683975792010508,-2,-7,6,-0.5457639136227861,-1.982918379409454,2.0597587579204926,0.0009228267723562293,0.0007438161967284936,-0.04048122779463277,0.004040776367791466
14167501526726584984,-3,-7,6,-0.6912715644894619,-2.0641692957767237,2.020107333097679,5.778005986881786e-05,-4.669751279555932e-05,0.0008577841692830716,0.002724148869889884
15067052686188348833,1,-7,6,0.31377805387348107,-1.9302928688443406,2.0460891508166448,-0.0006455617698238232,0.001994917260240854,-0.035321702462525154,0.002426249287847662
230437697685035602,0,-7,6,0.25682254569465857,-1.815712731875836,1.9628064955823854,0.0007326043283497219,-0.0022694864498525326,0.046815067179029446,0.0025871871522522485
230437697685035602,0,-7,6,0.11275589424854977,-2.082340740761264,2.044103557086027,0.0006415985722003351,0.0017632189279443158,-0.03357896215661025,0.0024425333927328304
230437697685035602,0,-7,6,0.2788299663087495,-1.9673287464863585,2.067444752897925,-0.0023993894377137416,0.0040899908563559705,-0.05600157087595441,0.0033530632525438134
15067052686188348833,1,-7,6,0.4099492665047352,-1.9806154806069658,2.049580612156553,6.620685681759418e-05,0.002355513371357205,-0.03812200285394117,0.004260148516847665
10604336390296671537,1,-8,6,0.41178155337803624,-2.1397585198638724,2.0607205797243786,-0.0017673101153416497,0.001560021412023674,-0.0579468959695489,0.001390584988877512
10604336390296671537,1,-8,6,0.41157447843571193,-2.206817525613544,1.9286839303849246,0.002200844249232251,-0.0005032669185589292,0.07562813068085611,0.002427256397032222
10604336390296671537,1,-8,6,0.4230241543901808,-2.1475391032753857,1.9252010162185411,0.002619761795020243,-0.001593660988826442,0.07546596988819083,0.0014486620622586076
15067052686188348833,1,-7,6,0.36380673170688876,-1.8769897772336093,1.9574795218627503,-0.001703374834183478,-0.0007179928238787737,0.055951845036839525,0.002598117804937054
15067052686188348833,1,-7,6,0.32815484248709065,-2.0240445428181015,2.002696797006709,4.259623068042016e-05,-7.705796732974828e-05,0.0034865809705588997,0.003151220755053498
15067052686188348833,1,-7,6,0.3550729125270512,-1.8083250201970256,1.9312038266195604,-0.0019016818757251175,-0.0020592612464054695,0.08042122323169393,0.0024400666560447414
17586841592698240170,2,-7,6,0.786959872507706,-2.041105900568023,2.0739195846539324,-0.0010020474734341474,0.0035803466364197523,-0.07305699609412283,0.005011870458443422
17586841592698240170,2,-7,6,0.8138731579643423,-1.9041079134924301,2.017622447185466,9.425297374419916e-05,0.00019051264165040015,-0.011773312560566157,0.00526003244350608
17586841592698240170,2,-7,6,0.8868046217470799,-1.831813109238841,1.9885727792222014,0.0005569788280178858,-0.0008285058229718065,0.0106307243998804,0.005580202251084562
17586841592698240170,2,-7,6,0.6535318489215276,-1.849831585407844,2.059902732935095,-0.0027285127128491567,0.0020537306433832544,-0.045972958405727966,0.002032760670249478
17586841592698240170,2,-7,6,0.8553485482383892,-2.032898633083769,2.0648364284519825,-0.0032826341676294836,-0.0017585803322749153,-0.07061490828334072,0.004012955131912212
1270683975792010508,-2,-7,6,-0.4315659891689343,-1.9857239379823584,2.0611847439850544,-0.00015861405342615554,0.0005210142243700929,-0.04206294978804395,0.0035669779709085617
1270683975792010508,-2,-7,6,-0.33481648370897377,-1.9105080203919917,2.0920877885405176,0.0007645615670524972,-0.0021426834754684886,-0.07653526264993939,0.0018150836868214264
1270683975792010508,-2,-7,6,-0.504592352386631,-1.8706868480021897,1.8673008509791542,0.004392553205158672,-0.0018242866602327873,0.1533968528626446,0.0034201042645027793
11491013267271208364,2,-8,6,0.6859878703721184,-2.3857934293560064,2.0701882237226585,-0.005215385409510172,-0.00010980567242174227,-0.0705641437547787,0.0038441626076711516
11491013267271208364,2,-8,6,0.7396328918541583,-2.234255706898652,2.090064543982199,-0.0010596729116489408,-0.0033922021998355023,-0.0909414704224471,0.002658188602176124
11491013267271208364,2,-8,6,0.708040450118851,-2.1856394634847573,1.9261628383197957,0.002518563984115054,0.0011703950289811385,0.07225189558485126,0.003358078571823816
10604336390296671537,1,-8,6,0.5991008639874356,-2.2232512878650375,2.0385292230304817,-0.001901158868000531,-0.0027393705776748204,-0.03799762777427971,0.004213316433101211
12522110180449457495,3,-8,6,1.194341538399751,-2.2331902376979644,1.951936945186665,0.0015550739292114863,-5.4791389008220436e-05,0.03720311917549293,0.005830984044448536
7690906746558365288,3,-7,6,1.1190846023966436,-1.9835196033397244,1.9476602595061343,-0.0007918320729261336,0.004088464513041636,0.05134438085935855,0.005682804883622995
12522110180449457495,3,-8,6,0.9301167646575237,-2.1506137954502833,1.994644335014779,-0.00010356876982691457,-0.0002029244970512651,0.006451527939341219,0.003254724257521648
10604185320534668621,4,-7,6,1.3354278630223646,-2.0768193118703517,2.0563545625379076,-0.0027262373810234756,0.000937216161894075,-0.0643374231668001,0.002038588392315829
7690906746558365288,3,-7,6,1.1141778361133157,-1.9456779940198234,2.07330874491475,-0.005042591464552694,-0.000825381054914665,-0.07987157820211409,0.006137132910038053
7690906746558365288,3,-7,6,1.0487841651514813,-1.9396126326796224,2.074224408889835,-0.0015985314971596757,0.002127040760998823,-0.08016802912440714,0.005541634748156168
6444351982548797810,3,-6,6,1.0921447938764672,-1.675718048642067,2.081499431692617,-0.006817874045688021,0.002459649650792878,-0.07414043730089129,0.008048488920636556
7690906746558365288,3,-7,6,1.0044467996664934,-1.8121035380880175,1.9992033565749594,2.1574097430124705e-05,-8.116951400563042e-07,-0.0009798846749729437,0.00715484966759974
6444351982548797810,3,-6,6,1.055910001193154,-1.5639222040574727,2.0279640018873972,-0.00032437931821989273,-0.0006902846028042095,-0.024832920166969558,0.00891220871836788
