voxel_hash,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,q_proj_0,q_proj_1,q_proj_2,e1_0,e1_1,e1_2,e2_0,e2_1,e2_2,e3_0,e3_1,e3_2
982828226670999681,-0.10496262833183792,-2.6626920733607977,0.28048629211120696,-0.0012817327213552575,0.009155569664112885,0.006112631390548184,-1.298480568460132,-1.538862200559023,2.042211681506951,-0.4452417711598766,-0.893570155289674,-0.0573771974742959,0.8951226680570057,-0.4458082641832123,-0.0032250141796452553,-0.022697452388396256,-0.052795541114186384,0.9983473626416492
982828226670999681,1.9416578067234567,0.6836789261975755,1.3278461133082018,-0.0096923182444392,-0.0573848389887854,-0.00919100418143437,-1.4076710132850418,-1.7127582236806107,2.0498731550844167,-0.43495312249437557,-0.8998618285841309,0.03262622702085616,0.898992449985188,-0.43602537259668656,-0.04116368935784695,0.05126749557001419,0.011426456543668445,0.998619587224702
982828226670999681,1.1812947350445582,-0.1456963945792726,0.18031018278052027,0.019566224775432045,0.018955057036606375,-0.0029210862058520193,-1.341322385442441,-1.64173261277925,2.0417443871894094,0.3998129730487143,-0.9134499947827214,-0.07588605677852822,-0.9109648557721605,-0.40515587559653915,0.07740638227955698,-0.10145254126908401,0.03818145493623515,-0.99410741792273
3513959249469715332,-0.21389366384737335,1.0007781293539557,0.3608802682809262,-0.00010629972647960951,0.0007217967474400094,-0.001979477989903722,-1.1855603487457662,-1.6633069967597591,2.037485487947837,-0.9067228187757256,0.4215093432426925,-0.013550035812369382,-0.4211628131965385,-0.9067036383431927,-0.022591967501629007,-0.021808592154927735,-0.014777881253115271,0.9996529395414634
781555433026856478,-1.4195954030460955,-1.9574603091044929,0.08579304590551468,0.014492458455139842,-0.05358062683021769,0.009620574368109036,-1.3605632098354177,-1.817479045064462,2.0442649934848665,-0.43916546469503226,0.8983809157088152,-0.006739800396724727,-0.8974053505784068,-0.4383098692529132,0.05047866151891736,0.04239494512844116,0.02821681778099,0.9987023980254932
2308216658180845620,0.23505921177039193,2.034415661232627,-0.36581045078299507,-0.022047175322104387,0.02158467529209039,-0.005766778872644096,-0.2711708747987854,-2.2475362755387702,2.015554555936506,-0.48559120303848946,-0.8721870453336427,0.05908418979560345,0.873074605163854,-0.4872719238079463,-0.017515880979368306,0.04406719130614851,0.04307934796017224,0.9980993199224785
2308216658180845620,0.6846196139494234,-0.10004280708831705,0.24102091860564673,0.0005073134727074704,-0.01125583372552138,-0.0020038145400723822,-0.23430031042114596,-2.2043851501383567,2.0113467162176275,-0.9771422397883712,0.20885389373654192,0.0396622527404914,-0.20820820669044365,-0.977883838700338,0.0198126392850978,0.04292302282126494,0.011101760210758926,0.9990166990757
2308216658180845620,-0.18497028019628803,-1.1221589548956301,0.4294223603309342,0.004123395125652851,-0.019604737468529938,0.002743536789317158,-0.10011560529199794,-2.3499432664734807,2.013644934361597,-0.6658140686296948,-0.7455643291634657,0.028730769112637236,0.7459702556603793,-0.6644232701914231,0.04549830434338731,-0.014832521186919571,0.051725710310896136,0.9985511740557279
2308216658180845620,0.750793171405391,-0.5585647714064139,0.5900568731962578,-0.004204140916988723,0.017857639254578027,-0.0013286100074050289,-0.001517903426936632,-2.2870351303075105,2.0095935281346162,-0.9276058219665142,0.3733881451056523,-0.011346019054657625,-0.3734165336418671,-0.9259774483976922,0.05590936828289341,0.010369737543474889,0.05609864662770672,0.9983713789917151
11624312666122233477,0.3233863238782446,0.4929027601113478,0.22883731119145084,-0.0011874010068775396,0.0014866361957709693,-0.001984197772188001,0.026075365629013893,-2.262476539013636,2.0086334485084176,-0.10367901252532427,-0.9931001715852118,0.054797003195398375,0.9942546496700195,-0.10495873768678421,-0.02100845050791854,0.026614920088561027,0.052304039811659764,0.998276481465961
9516819473740312108,0.5821464310244778,1.6010486170161526,1.2592464990841008,0.02585283218770945,0.02139508205130731,-0.005366599299156061,-0.3921920617843332,-2.322806123599073,2.0218682557067873,-0.9123625550676684,-0.4091348911726903,0.014255137161957088,0.4093689333270112,-0.9114873388641567,0.040098722137275576,-0.0034124092809023785,0.042420182878533844,0.9990940313841592
9516819473740312108,-1.1719900989988306,-1.2742483268105982,0.16880580532006165,-0.009487865702729761,-0.04505921719070014,0.006352252937960046,-0.5347381880437115,-2.2827252641766553,2.0225287701736647,0.20650705602015165,-0.9782060706088105,0.021626817564317682,0.978420695103575,0.20629530405294044,-0.011627162970469538,0.006912250496542885,0.023561217069056103,0.9996984994703644
9516819473740312108,0.4576786451991282,0.7904614385785642,0.8475729062094471,-0.02826878142200351,-0.04258201829456218,-0.002688861230046302,-0.43087409689400674,-2.282913631887467,2.019517907556458,-0.45097736139604727,0.8911047594582437,0.050514623418615345,-0.8871504701235013,-0.4537456386879246,0.0841364292761343,0.09789516263794483,-0.006870447041700145,0.995173017163115
9516819473740312108,-0.12463967922226656,1.9534008057199241,0.10787373552339691,-0.01454678006134175,-0.04993282879580596,-0.0036473300252619634,-0.5246889778615503,-2.200749975588665,2.024276992961223,-0.4792276895417357,0.8775650882441022,-0.014843768780574057,-0.8753778014298695,-0.47666954611156614,0.08062163837085937,0.06367516266408603,0.05163002716360843,0.9966342428166852
9516819473740312108,-0.1949861226048837,0.7542048636727069,0.32558428666530914,0.0004155192762323426,-0.002412928026973191,-0.0008927880020130896,-0.46500788357899847,-2.3304046183309923,2.020929202713849,-0.9722221836755159,-0.2326905768665234,0.02528084268247728,0.2323660291644959,-0.9725106318318819,-0.015136031985917953,0.028107900304651788,-0.008841177041472026,0.9995657954977178
982828226670999681,0.32740753899871994,0.6599639518597484,0.7798174684271916,0.004202107306285421,0.021301662049774406,-0.002752734469731455,-1.2131200574231928,-1.7784262436637195,2.038462352413134,0.0696913748886657,-0.9941725220228201,0.08224420174646496,0.9951937074891236,0.06360326156242585,-0.0744587784796007,0.06879387211212974,0.08703804670032222,0.9938268368213914
14542011485515905829,0.5978263817616429,-0.26403799068988376,0.09514306241710004,0.0026878712889268274,-0.009343634907655725,-0.0018843188708961844,-0.9178817552372934,-1.927418304263216,2.0267907383810417,-0.34559540820167933,-0.936623118090996,0.057453881395561845,0.9376871369872393,-0.3470495228802215,-0.017304964527132927,0.03614757195980392,0.0478932492749386,0.9981981715647948
14542011485515905829,0.43771022745960675,-0.19833805160585555,0.7833669795648879,0.0020752308730975196,0.025648897958819424,-0.0011042611283493264,-0.9390609256031458,-2.055389669655444,2.032610023162643,-0.2726631260598316,-0.9599194391256813,0.06488058319650403,0.960452332082117,-0.27553022667239224,-0.040179745990777116,0.05644588103044879,0.05135917229179465,0.9970837968476863
14167501526726584984,0.430366538594569,0.009125632516906252,0.07089622089225023,0.005022447259506935,0.010116495407975466,-0.0013410960253585338,-0.888420556593648,-2.0547620387884193,2.0297288548758554,-0.9790926099859107,0.19771624846619051,0.04781156934710146,-0.1943008338106798,-0.9785913583154313,0.06786854507673956,0.06020670271200392,0.05715976314519233,0.9965479990576138
3513959249469715332,0.883157277610448,0.7385538017959654,-0.46080841995844785,0.030989834197032835,0.009982292804713,-0.0040992540100099895,-1.0420222430960109,-1.6966263320532151,2.0350605886328874,-0.6580627310985985,0.7447519009550092,0.11089656425225516,-0.7526959021452524,-0.6545787984039974,-0.07053705107051145,0.020057936902848877,-0.12988919394576215,0.9913256157606953
3513959249469715332,-0.3291897622610611,0.0789210006984077,0.08999052502827319,0.0017324980671223748,-0.004304119644584661,0.0009179868462985963,-0.976743296834668,-1.6907651058679276,2.033026374612795,-0.36832566172642955,0.9255284194789666,0.08793947720196098,-0.9295533078946954,-0.36827964700344185,-0.01734212746609428,0.016335687797508398,-0.08813198250230617,0.9959748485601408
3513959249469715332,-0.38428096517031224,-1.9567884084407856,0.029826349735311265,-0.006400546528890754,-0.0971933705234352,0.004554093385610969,-0.9732639791640015,-1.6905064472767946,2.0324077260483158,-0.9419191573574665,0.33034309013361873,0.06051234422803689,-0.33313144145491685,-0.9418679964682128,-0.04368203226870149,0.04256458289669659,-0.061303507484698705,0.9972111793661882
11624312666122233477,-0.35431702233237566,-1.175700354437721,0.36582070596808375,0.008932048033686565,-0.02410708411370094,0.0034092148445041826,0.09701365976211054,-2.286856173170971,2.007679040314052,-0.7362798354749812,-0.6739433715703765,0.06076459322079204,0.6766761523247584,-0.733147732572238,0.06785121295265698,-0.0011784514819551764,0.09107543104778483,0.99584329947616
