0.647223,-1.974354,2.009898
0.723004,-2.033598,2.005363
0.765421,-1.918754,2.006165
0.813783,-2.094932,2.005795
0.855189,-1.982062,2.003583
0.881632,-1.861183,2.007448
0.643960,-2.087409,2.006891
0.781118,-2.042892,2.006054
0.642849,-1.839476,2.013717
0.768963,-1.806904,2.010804
0.682243,-1.887042,2.014028
0.811203,-1.851932,2.012078
0.767362,-1.974197,2.010171
0.632759,-1.899256,2.014056
0.710701,-1.958339,2.015385
0.682742,-1.801319,2.014040
0.619267,-2.029025,2.003216
0.694498,-2.087667,1.998394
0.859747,-1.915955,1.998219
0.873149,-2.050891,1.997842
0.711069,-1.843492,2.007048
0.862910,-1.812014,2.002537
0.817438,-1.946754,2.006562
0.746926,-2.089996,1.992326
0.760453,-1.861823,1.998004
0.808639,-1.997611,1.990982
0.670579,-2.032993,1.993996
