-0.837004,-2.040102,2.027247
-0.897555,-1.913833,2.021261
-0.802875,-2.002174,2.020487
-0.697138,-2.075570,2.021810
-0.759760,-1.973391,2.028647
-0.640999,-2.035738,2.017036
-0.880699,-1.994071,2.022482
-0.786441,-1.923439,2.026893
-0.749886,-2.046532,2.020925
-0.669638,-1.978857,2.026332
-0.615038,-2.087989,2.017448
-0.858158,-1.842184,2.024562
-0.724296,-1.880654,2.023108
-0.650055,-1.811891,2.019531
-0.845418,-1.925222,2.022928
-0.775165,-1.854473,2.023369
-0.682441,-1.930770,2.018684
-0.639325,-1.899961,2.023861
-0.890485,-2.068648,2.021047
-0.606276,-1.962618,2.022406
-0.709595,-2.010989,2.033081
-0.681463,-1.852420,2.022919
-0.795304,-2.070492,2.028990
